,Country,year,HappinessScore,Happiness Rank,Economy (GDP per Capita),Health (Life Expectancy),Freedom
0,Switzerland,2015,7.587000000000001,1,1.3965100000000001,0.9414299999999999,0.66557
1,Iceland,2015,7.561,2,1.3023200000000001,0.94784,0.6287699999999999
2,Denmark,2015,7.527,3,1.32548,0.87464,0.6493800000000001
3,Norway,2015,7.522,4,1.459,0.88521,0.66973
4,Canada,2015,7.4270000000000005,5,1.32629,0.9056299999999999,0.63297
5,Finland,2015,7.406000000000001,6,1.29025,0.8891100000000001,0.64169
6,Netherlands,2015,7.377999999999999,7,1.32944,0.89284,0.6157600000000001
7,Sweden,2015,7.364,8,1.33171,0.9108700000000001,0.6598
8,New Zealand,2015,7.2860000000000005,9,1.2501799999999998,0.9083700000000001,0.6393800000000001
9,Australia,2015,7.284,10,1.33358,0.93156,0.6512399999999999
10,Israel,2015,7.278,11,1.2285700000000002,0.9138700000000001,0.41318999999999995
11,Costa Rica,2015,7.226,12,0.95578,0.8602700000000001,0.63376
12,Austria,2015,7.2,13,1.33723,0.8904200000000001,0.62433
13,Mexico,2015,7.187,14,1.02054,0.8144399999999999,0.48181
14,United States,2015,7.119,15,1.3945100000000001,0.86179,0.54604
15,Brazil,2015,6.983,16,0.98124,0.69702,0.49049
16,Luxembourg,2015,6.946000000000001,17,1.5639100000000001,0.91894,0.61583
17,Ireland,2015,6.94,18,1.33596,0.89533,0.6177699999999999
18,Belgium,2015,6.937,19,1.30782,0.8966700000000001,0.5845
19,United Arab Emirates,2015,6.901,20,1.42727,0.80925,0.64157
20,United Kingdom,2015,6.867000000000001,21,1.26637,0.90943,0.59625
21,Oman,2015,6.853,22,1.36011,0.76276,0.63274
22,Venezuela,2015,6.81,23,1.04424,0.7205199999999999,0.42908
23,Singapore,2015,6.797999999999999,24,1.52186,1.02525,0.54252
24,Panama,2015,6.7860000000000005,25,1.0635299999999999,0.79661,0.5421
25,Germany,2015,6.75,26,1.32792,0.89186,0.6147699999999999
26,Chile,2015,6.67,27,1.10715,0.85857,0.44132
27,Qatar,2015,6.611000000000001,28,1.69042,0.79733,0.6404
28,France,2015,6.575,29,1.27778,0.9457899999999999,0.55011
29,Argentina,2015,6.574,30,1.05351,0.78723,0.44974
30,Czech Republic,2015,6.505,31,1.17898,0.84483,0.46363999999999994
31,Uruguay,2015,6.485,32,1.06166,0.8116,0.6036199999999999
32,Colombia,2015,6.477,33,0.91861,0.69077,0.53466
33,Thailand,2015,6.455,34,0.9669,0.7385,0.5566399999999999
34,Saudi Arabia,2015,6.4110000000000005,35,1.39541,0.72025,0.31048000000000003
35,Spain,2015,6.329,36,1.23011,0.95562,0.45951000000000003
36,Malta,2015,6.3020000000000005,37,1.2074,0.88721,0.60365
37,Taiwan,2015,6.297999999999999,38,1.29098,0.8753,0.3974
38,Kuwait,2015,6.295,39,1.5542200000000002,0.72492,0.55499
39,Suriname,2015,6.269,40,0.99534,0.6082,0.5965699999999999
40,Trinidad and Tobago,2015,6.167999999999999,41,1.21183,0.61483,0.55884
41,El Salvador,2015,6.13,42,0.76454,0.67737,0.4035
42,Guatemala,2015,6.122999999999999,43,0.74553,0.64425,0.57733
43,Uzbekistan,2015,6.002999999999999,44,0.63244,0.59772,0.6582100000000001
44,Slovakia,2015,5.995,45,1.1689100000000001,0.7890199999999999,0.31751
45,Japan,2015,5.987,46,1.27074,0.99111,0.49615
46,South Korea,2015,5.984,47,1.24461,0.9653799999999999,0.33208000000000004
47,Ecuador,2015,5.975,48,0.8640200000000001,0.79075,0.48573999999999995
48,Bahrain,2015,5.96,49,1.32376,0.74716,0.45492
49,Italy,2015,5.9479999999999995,50,1.25114,0.9544600000000001,0.26236
50,Bolivia,2015,5.89,51,0.68133,0.5392,0.57414
51,Moldova,2015,5.888999999999999,52,0.59448,0.61826,0.32818
52,Paraguay,2015,5.877999999999999,53,0.75985,0.66098,0.53899
53,Kazakhstan,2015,5.855,54,1.1225399999999999,0.64368,0.51649
54,Slovenia,2015,5.848,55,1.18498,0.8733700000000001,0.60855
55,Lithuania,2015,5.832999999999999,56,1.14723,0.73128,0.21341999999999997
56,Nicaragua,2015,5.827999999999999,57,0.59325,0.7431399999999999,0.55475
57,Peru,2015,5.824,58,0.9001899999999999,0.73017,0.41496000000000005
58,Belarus,2015,5.813,59,1.0319200000000002,0.7360800000000001,0.37938
59,Poland,2015,5.791,60,1.12555,0.77903,0.53122
60,Malaysia,2015,5.77,61,1.12486,0.7239399999999999,0.5302399999999999
61,Croatia,2015,5.7589999999999995,62,1.08254,0.78805,0.25883
62,Libya,2015,5.754,63,1.13145,0.7038,0.41668
63,Russia,2015,5.716,64,1.13764,0.6692600000000001,0.36679
64,Jamaica,2015,5.709,65,0.81038,0.6874100000000001,0.50442
65,North Cyprus,2015,5.695,66,1.2080600000000001,0.92356,0.49027
66,Cyprus,2015,5.689,67,1.20813,0.92356,0.40671999999999997
67,Algeria,2015,5.605,68,0.93929,0.61766,0.28579
68,Kosovo,2015,5.5889999999999995,69,0.80148,0.63132,0.24749000000000002
69,Turkmenistan,2015,5.547999999999999,70,0.95847,0.53886,0.4761
70,Mauritius,2015,5.477,71,1.0076100000000001,0.7095,0.56066
71,Hong Kong,2015,5.474,72,1.38604,1.01328,0.59608
